1	Japan	    37,217,000.00
2	India	    22,654,000.00
3	Mexico	    20,446,000.00
4	United States	    20,352,000.00
5	China	    20,208,000.00
6	Brazil	    19,924,000.00
7	India	    19,744,000.00
8	China	    15,594,000.00
9	Bangladesh	    15,391,000.00
10	France	    14,890,100.00
11	India	    14,402,000.00
12	Pakistan	    13,876,000.00
13	Argentina	    13,528,000.00
14	United States	    13,395,000.00
15	Brazil	    11,960,000.00
16	Philippines	    11,862,000.00
17	Russia	    11,621,000.00
18	Japan	    11,494,000.00
19	Turkey	    11,253,000.00
20	Nigeria	    11,223,000.00
21	Egypt	    11,169,000.00
22	China	    10,849,000.00
23	China	    10,630,000.00
24	France	    10,620,000.00
25	China	     9,977,000.00
26	Indonesia	     9,769,000.00
27	Korea, South	     9,736,000.00
28	United States	     9,676,000.00
29	China	     9,158,000.00
30	Peru	     9,130,000.00
31	United Kingdom	     9,005,000.00
32	Congo, Democratic Republic of the	     8,798,000.00
33	India	     8,784,000.00
34	Colombia	     8,743,000.00
35	India	     8,614,000.00
36	Thailand	     8,426,000.00
37	India	     7,837,000.00
38	Pakistan	     7,566,000.00
39	Iran	     7,304,000.00
40	Spain	     6,574,000.00
41	Vietnam	     6,405,000.00
42	United States	     6,061,000.00
43	Iraq	     6,036,000.00
44	Chile	     6,034,000.00
45	United States	     5,927,000.00
46	Canada	     5,573,000.00
47	Spain	     5,570,000.00
48	Brazil	     5,487,000.00
49	Saudi Arabia	     5,451,000.00
50	Bangladesh	     5,239,000.00
51	Angola	     5,068,000.00
52	Russia	     4,866,000.00
53	United States	     4,705,000.00
54	Sudan	     4,632,000.00
55	Australia	     4,543,000.00
56	Mexico	     4,525,000.00
57	Egypt	     4,494,000.00
58	Burma	     4,457,000.00
59	Cote d'Ivoire	     4,288,000.00
60	Mexico	     4,213,000.00
61	Turkey	     4,194,000.00
62	Australia	     3,961,000.00
63	Brazil	     3,933,000.00
64	Canada	     3,856,000.00
65	South Africa	     3,844,000.00
66	Brazil	     3,813,000.00
67	Brazil	     3,733,000.00
68	Colombia	     3,694,000.00
69	Tanzania	     3,588,000.00
70	Saudi Arabia	     3,578,000.00
71	South Africa	     3,562,000.00
72	Germany	     3,462,000.00
73	Greece	     3,414,000.00
74	Israel	     3,381,000.00
75	Nigeria	     3,375,000.00
76	Korea, South	     3,372,000.00
77	Kenya	     3,363,000.00
78	South Africa	     3,357,000.00
79	Japan	     3,328,000.00
80	Italy	     3,298,000.00
81	Venezuela	     3,242,000.00
82	Syria	     3,164,000.00
83	Afghanistan	     3,097,000.00
84	Morocco	     3,046,000.00
85	Pakistan	     3,038,000.00
86	Senegal	     3,035,000.00
87	South Africa	     3,012,000.00
88	Ethiopia	     2,979,000.00
89	Vietnam	     2,955,000.00
90	Nigeria	     2,949,000.00
91	Turkey	     2,927,000.00
92	Algeria	     2,916,000.00
93	Italy	     2,909,000.00
94	Japan	     2,868,000.00
95	Portugal	     2,843,000.00
96	Korea, North	     2,843,000.00
97	Ukraine	     2,829,000.00
98	Indonesia	     2,787,000.00
99	Japan	     2,742,000.00
100	Iran	     2,713,000.00
101	Syria	     2,650,000.00
102	Korea, South	     2,622,000.00
103	Ghana	     2,573,000.00
104	Puerto Rico	     2,475,000.00
105	Colombia	     2,453,000.00
106	Cameroon	     2,449,000.00
107	Korea, South	     2,447,000.00
108	Cameroon	     2,432,000.00
109	Indonesia	     2,429,000.00
110	Japan	     2,428,000.00
111	Yemen	     2,419,000.00
112	Kuwait	     2,406,000.00
113	Italy	     2,373,000.00
114	Mexico	     2,335,000.00
115	Venezuela	     2,310,000.00
116	Ecuador	     2,287,000.00
117	United Kingdom	     2,272,000.00
118	Canada	     2,267,000.00
119	Uzbekistan	     2,227,000.00
120	United Kingdom	     2,213,000.00
121	Haiti	     2,207,000.00
122	Dominican Republic	     2,191,000.00
123	Pakistan	     2,164,000.00
124	Nigeria	     2,153,000.00
125	Paraguay	     2,139,000.00
126	Azerbaijan	     2,123,000.00
127	Indonesia	     2,118,000.00
128	Cuba	     2,116,000.00
129	Burkina Faso	     2,053,000.00
130	Australia	     2,039,000.00
131	Mali	     2,037,000.00
132	Lebanon	     2,022,000.00
133	Ghana	     2,019,000.00
134	Madagascar	     1,987,000.00
135	United Arab Emirates	     1,978,000.00
136	Belgium	     1,949,000.00
137	Romania	     1,937,000.00
138	Colombia	     1,900,000.00
139	Nigeria	     1,894,000.00
140	Venezuela	     1,866,000.00
141	Belarus	     1,861,000.00
142	Morocco	     1,843,000.00
143	Mexico	     1,820,000.00
144	Zambia	     1,802,000.00
145	Germany	     1,796,000.00
146	Guinea	     1,786,000.00
147	Bangladesh	     1,781,000.00
148	Iran	     1,781,000.00
149	Pakistan	     1,775,000.00
150	Mexico	     1,748,000.00
151	Hungary	     1,737,000.00
152	Poland	     1,723,000.00
153	Austria	     1,720,000.00
154	Bolivia	     1,719,000.00
155	Bolivia	     1,715,000.00
156	Turkey	     1,713,000.00
157	Uruguay	     1,672,000.00
158	Uganda	     1,659,000.00
159	Australia	     1,649,000.00
160	Iran	     1,635,000.00
161	United Kingdom	     1,625,000.00
162	Ecuador	     1,622,000.00
163	Italy	     1,613,000.00
164	Congo, Republic of the	     1,611,000.00
165	El Salvador	     1,605,000.00
166	Saudi Arabia	     1,591,000.00
167	Indonesia	     1,573,000.00
168	Philippines	     1,565,000.00
169	Argentina	     1,556,000.00
170	Congo, Democratic Republic of the	     1,556,000.00
171	Malaysia	     1,556,000.00
172	Somalia	     1,554,000.00
173	Cambodia	     1,550,000.00
174	Zimbabwe	     1,542,000.00
175	Korea, South	     1,538,000.00
176	Nigeria	     1,524,000.00
177	Togo	     1,524,000.00
178	Costa Rica	     1,515,000.00
179	Iran	     1,509,000.00
180	Congo, Democratic Republic of the	     1,504,000.00
181	Korea, South	     1,503,000.00
182	South Africa	     1,501,000.00
183	Iraq	     1,494,000.00
184	France	     1,488,000.00
185	Russia	     1,478,000.00
186	Turkey	     1,468,000.00
187	Indonesia	     1,455,000.00
188	New Zealand	     1,452,000.00
189	Ukraine	     1,451,000.00
190	Panama	     1,426,000.00
191	Kazakhstan	     1,426,000.00
192	Sweden	     1,385,000.00
193	Syria	     1,369,000.00
194	Portugal	     1,367,000.00
195	Germany	     1,364,000.00
196	Russia	     1,355,000.00
197	Iran	     1,321,000.00
198	Niger	     1,297,000.00
199	Argentina	     1,283,000.00
200	Czech Republic	     1,276,000.00
201	Russia	     1,245,000.00
202	Venezuela	     1,245,000.00
203	Canada	     1,216,000.00
204	Thailand	     1,212,000.00
205	Canada	     1,208,000.00
206	Denmark	     1,206,000.00
207	South Africa	     1,200,000.00
208	Australia	     1,198,000.00
209	Turkey	     1,198,000.00
210	Switzerland	     1,194,000.00
211	Malaysia	     1,190,000.00
212	Mongolia	     1,184,000.00
213	Jordan	     1,179,000.00
214	Bulgaria	     1,174,000.00
215	Guatemala	     1,168,000.00
216	Russia	     1,166,000.00
217	Mozambique	     1,150,000.00
218	Saudi Arabia	     1,142,000.00
219	Canada	     1,142,000.00
220	United Kingdom	     1,137,000.00
221	Serbia	     1,135,000.00
222	Finland	     1,134,000.00
223	Libya	     1,127,000.00
224	Georgia	     1,121,000.00
225	Ireland	     1,121,000.00
226	Colombia	     1,120,000.00
227	Armenia	     1,116,000.00
228	Venezuela	     1,115,000.00
229	Angola	     1,098,000.00
230	Honduras	     1,088,000.00
231	Morocco	     1,088,000.00
232	Chad	     1,079,000.00
233	Burma	     1,063,000.00
234	Burma	     1,060,000.00
235	Netherlands	     1,056,000.00
236	Israel	     1,054,000.00
237	Malaysia	     1,045,000.00
238	France	     1,042,000.00
239	Iraq	     1,039,000.00
240	Nepal	     1,015,000.00
241	Netherlands	     1,014,000.00
242	Ukraine	     1,010,000.00
243	Germany	     1,006,000.00
244	Rwanda	     1,004,000.00
245	Ukraine	      994,000.00
246	France	      991,000.00
247	Colombia	      988,000.00
248	United Arab Emirates	      983,000.00
249	Kenya	      972,000.00
250	Nicaragua	      970,000.00
251	Cote d'Ivoire	      966,000.00
252	Ukraine	      959,000.00
