This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP - real growth rate(%) 	 Date of Information
129 	 Saint Lucia 	            3.30 	 2002 est.
130 	 Brunei 	            3.20 	 2003 est.
131 	 United Kingdom 	            3.20 	 2004 est.
132 	 Senegal 	            3.20 	 2004 est.
133 	 Cyprus 	            3.20 	 2004 est.
134 	 Antigua and Barbuda 	            3.00 	 2002 est.
135 	 Bahamas, The 	            3.00 	 2004 est.
136 	 Tuvalu 	            3.00 	 2000 est.
137 	 Togo 	            3.00 	 2004 est.
138 	 Nepal 	            3.00 	 2004 est.
139 	 Mauritania 	            3.00 	 2004 est.
140 	 Guernsey 	            3.00 	 2003 est.
141 	 Finland 	            3.00 	 2004 est.
142 	 Cuba 	            3.00 	 2004 est.
143 	 Burundi 	            3.00 	 2004 est.
144 	 Japan 	            2.90 	 2004 est.
145 	 Anguilla 	            2.80 	 2001 est.
146 	 Somalia 	            2.80 	 2004 est.
147 	 Paraguay 	            2.80 	 2004 est.
148 	 Puerto Rico 	            2.70 	 2004 est.
149 	 Belgium 	            2.60 	 2004 est.
150 	 Cyprus 	            2.60 	 2004 est.
151 	 Guatemala 	            2.60 	 2004 est.
152 	 Spain 	            2.60 	 2004 est.
153 	 Guinea-Bissau 	            2.60 	 2004 est.
154 	 Eritrea 	            2.50 	 2004 est.
155 	 Swaziland 	            2.50 	 2004 est.
156 	 Grenada 	            2.50 	 2002 est.
157 	 Reunion 	            2.50 	 2004 est.
158 	 Canada 	            2.40 	 2004 est.
159 	 European Union 	            2.40 	 2004 est.
160 	 Barbados 	            2.30 	 2004 est.
161 	 Maldives 	            2.30 	 2002 est.
162 	 Syria 	            2.30 	 2004 est.
163 	 Luxembourg 	            2.30 	 2004 est.
164 	 Kenya 	            2.20 	 2004 est.
165 	 Denmark 	            2.10 	 2004 est.
166 	 France 	            2.10 	 2004 est.
167 	 Andorra 	            2.00 	 2003 est.
168 	 Virgin Islands 	            2.00 	 2002 est.
169 	 Comoros 	            2.00 	 2002 est.
170 	 Bermuda 	            2.00 	 2003 est.
171 	 Austria 	            1.90 	 2004 est.
172 	 Gabon 	            1.90 	 2004 est.
173 	 Guyana 	            1.90 	 2004 est.
174 	 Yemen 	            1.90 	 2004 est.
